number,value,datetime_start,datetime_complete,duration,params_colsample,params_lr,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
15,0.846030043026167,2026-07-06 07:28:15.699846,2026-07-06 07:28:20.746290,0 days 00:00:05.046444,0.9988252258287955,0.01714307181522522,5,6.401582879533389,300,2.7221353112325497,0.9540874311287062,COMPLETE
16,0.8495891052673998,2026-07-06 07:28:20.746332,2026-07-06 07:28:28.204244,0 days 00:00:07.457912,0.4101872335416351,0.020230676671766014,7,4.980765686078921,700,1.434347846188335,0.7973555862303408,COMPLETE
17,0.8481010584305156,2026-07-06 07:28:28.204284,2026-07-06 07:28:37.043385,0 days 00:00:08.839101,0.6992163890562387,0.012003085301764173,7,6.684396011109719,700,3.1224255032128174,0.7234649930833843,COMPLETE
18,0.8491196077823984,2026-07-06 07:28:37.043429,2026-07-06 07:28:44.887862,0 days 00:00:07.844433,0.5474614980115908,0.013485667068228823,5,2.6791388541136425,500,0.5316009455241284,0.6042795340367697,COMPLETE
19,0.8450719743936798,2026-07-06 07:28:44.887904,2026-07-06 07:28:51.846925,0 days 00:00:06.959021,0.6785709102382582,0.02094493206920468,6,4.685173638888476,500,3.7582072941485287,0.8712330434473845,COMPLETE
20,0.8524203516839176,2026-07-06 07:28:51.846983,2026-07-06 07:28:58.543728,0 days 00:00:06.696745,0.4053388686928255,0.01625685605585926,8,1.013846013108914,300,2.1503919747109426,0.7617917384974677,COMPLETE
21,0.8560449771302485,2026-07-06 07:28:58.543773,2026-07-06 07:29:04.440569,0 days 00:00:05.896796,0.4658702773736168,0.031750342449716855,4,5.463751460443618,600,0.8630049201614941,0.6783254009251132,COMPLETE
22,0.8508412933606732,2026-07-06 07:29:04.440617,2026-07-06 07:29:10.236066,0 days 00:00:05.795449,0.598267597422989,0.03634557560241829,4,6.614063099545809,600,0.7976779092877854,0.6742646087820946,COMPLETE
23,0.8469073533414619,2026-07-06 07:29:10.236113,2026-07-06 07:29:16.148088,0 days 00:00:05.911975,0.4402421926563715,0.06001232021225676,3,3.86401796285634,700,0.6917820261991209,0.6980075756176303,COMPLETE
24,0.8498673304874856,2026-07-06 07:29:16.148132,2026-07-06 07:29:22.164603,0 days 00:00:06.016471,0.5283448395867733,0.03331692801492416,5,5.03406957455949,600,1.1056359437762884,0.6450010318648459,COMPLETE
25,0.8428528032404001,2026-07-06 07:29:22.164648,2026-07-06 07:29:28.224340,0 days 00:00:06.059692,0.8254757592524546,0.02751483250187364,4,6.17907193454921,500,0.691529034896711,0.8092254007709909,COMPLETE
26,0.8483068991014727,2026-07-06 07:29:28.224442,2026-07-06 07:29:35.104513,0 days 00:00:06.880071,0.7344565179821724,0.019551127845321002,5,5.261174408808881,600,1.4036642966262,0.6179615823636754,COMPLETE
27,0.8488268141562715,2026-07-06 07:29:35.104559,2026-07-06 07:29:39.728969,0 days 00:00:04.624410,0.6407868504779058,0.010014273545318057,3,3.5487781510649468,400,0.5435149996961481,0.7002426712630103,COMPLETE
28,0.8517681622138987,2026-07-06 07:29:39.729015,2026-07-06 07:29:46.955126,0 days 00:00:07.226111,0.5643474690937172,0.014153311564257533,4,7.120294465664491,700,0.8500326704934522,0.7604808259913779,COMPLETE
29,0.8399603568983414,2026-07-06 07:29:46.955172,2026-07-06 07:29:52.393777,0 days 00:00:05.438605,0.4962305636793425,0.048562188692524225,6,4.485117127527291,500,1.800197250472386,0.784296010803154,COMPLETE
30,0.8518475595607379,2026-07-06 07:29:52.393823,2026-07-06 07:29:58.539533,0 days 00:00:06.145710,0.44390293321832525,0.024339561706733848,7,4.4720375628503675,500,5.960239104589666,0.8363361780729096,COMPLETE
31,0.8527456400906013,2026-07-06 07:29:58.539581,2026-07-06 07:30:04.266584,0 days 00:00:05.727003,0.4479908450287145,0.028437761353014384,4,5.839571757155418,600,1.039312535839222,0.6630001276503684,COMPLETE
32,0.8464991719449084,2026-07-06 07:30:04.266635,2026-07-06 07:30:10.673495,0 days 00:00:06.406860,0.49337283509577184,0.033978449906459096,5,5.4493225433337935,600,0.621756930003637,0.6501567272405506,COMPLETE
33,0.8546328126366886,2026-07-06 07:30:10.673539,2026-07-06 07:30:17.721013,0 days 00:00:07.047474,0.40347421372307446,0.022774448873983895,4,7.064065148522987,800,1.2072894425655112,0.6191288186663455,COMPLETE
34,0.8574550485403198,2026-07-06 07:30:17.721056,2026-07-06 07:30:23.181182,0 days 00:00:05.460126,0.4632035251885054,0.02993849604174452,3,6.037106025651526,600,0.8367618855941438,0.7036356399765052,COMPLETE
35,0.8519766065114902,2026-07-06 07:30:23.181227,2026-07-06 07:30:29.655468,0 days 00:00:06.474241,0.7364634333253963,0.0412119494988933,3,6.168411306864804,700,0.8111718816221636,0.7509605373656775,COMPLETE
36,0.849011949864663,2026-07-06 07:30:29.655512,2026-07-06 07:30:35.151817,0 days 00:00:05.496305,0.778951536058632,0.05837042781030881,3,7.056812257351042,600,1.600593766653118,0.6946956944614809,COMPLETE
37,0.8508457025317491,2026-07-06 07:30:35.151863,2026-07-06 07:30:41.591550,0 days 00:00:06.439687,0.5028875105740344,0.018413837509929372,3,6.021481629219053,700,2.3364635890812533,0.7382915059379043,COMPLETE
38,0.8573576308847626,2026-07-06 07:30:41.591604,2026-07-06 07:30:48.046731,0 days 00:00:06.455127,0.5635711379035637,0.02561944351846822,5,7.628826985974074,600,0.6235322219658886,0.8425137703302649,COMPLETE
39,0.8479025661390003,2026-07-06 07:30:48.046788,2026-07-06 07:30:55.031327,0 days 00:00:06.984539,0.5592343828986159,0.047935770253439834,5,7.883664282340567,800,0.6310953211473076,0.9233367961350792,COMPLETE
40,0.852329388240241,2026-07-06 07:30:55.031377,2026-07-06 07:31:00.462347,0 days 00:00:05.430970,0.4609381548063181,0.025222974863346147,3,7.451980071081028,600,0.8786567343359155,0.8265980467365148,COMPLETE
41,0.8484859341060892,2026-07-06 07:31:00.462391,2026-07-06 07:31:07.826591,0 days 00:00:07.364200,0.5165496574981798,0.03076169657790244,5,2.350921940188407,600,0.7505727010744262,0.894910237300441,COMPLETE
42,0.8492593288135923,2026-07-06 07:31:07.826635,2026-07-06 07:31:13.154895,0 days 00:00:05.328260,0.43634161141044187,0.03713973216916286,5,5.193498734767109,500,0.6143238655524508,0.8462457798247245,COMPLETE
43,0.8523524566160224,2026-07-06 07:31:13.154940,2026-07-06 07:31:19.191347,0 days 00:00:06.036407,0.625663719658939,0.014687668393946264,6,6.690385721580691,500,0.5171254056689242,0.7824362464208656,COMPLETE
44,0.857400941722647,2026-07-06 07:31:19.191390,2026-07-06 07:31:25.349114,0 days 00:00:06.157724,0.47449320714819015,0.021884882085001812,4,7.50950885299934,600,5.583433547161833,0.8246367258932887,COMPLETE
45,0.8547067933502042,2026-07-06 07:31:25.349160,2026-07-06 07:31:32.104891,0 days 00:00:06.755731,0.48118484387916455,0.022127705969378346,4,7.60306176782788,700,0.7207788403700335,0.859382376034101,COMPLETE
46,0.8542602050547787,2026-07-06 07:31:32.104934,2026-07-06 07:31:37.801404,0 days 00:00:05.696470,0.4259250798612624,0.024960618061406717,4,7.325043109308258,600,0.9479701524146477,0.8193079562838642,COMPLETE
47,0.8521235475692841,2026-07-06 07:31:37.801454,2026-07-06 07:31:44.162145,0 days 00:00:06.360691,0.4711851921189348,0.026861006307097205,4,6.369109728484326,600,5.694244223924338,0.885446598841398,COMPLETE
48,0.8501479370471617,2026-07-06 07:31:44.162188,2026-07-06 07:31:50.721143,0 days 00:00:06.558955,0.5210167698256094,0.011249618877702471,3,7.724064944168255,700,7.606495058860613,0.7933636488718752,COMPLETE
49,0.8554921377789595,2026-07-06 07:31:50.721197,2026-07-06 07:31:56.880392,0 days 00:00:06.159195,0.5409312597899821,0.029906393650713046,4,6.852969250739681,600,0.5081664871395893,0.9206393715423934,COMPLETE
