variant,method,tuned_for,threshold,AUROC,ACC,F1,MCC
meta-LR,C=0.1,MCC,0.48999999999999994,0.8813559322033898,0.8,0.8429752066115702,0.5694041761720933
meta-LR,C=0.1,ACC,0.43999999999999995,0.8813559322033898,0.8210526315789474,0.8661417322834646,0.6142528868305345
meta-LR,C=0.1,F1,0.43999999999999995,0.8813559322033898,0.8210526315789474,0.8661417322834646,0.6142528868305345
meta-LR,C=1.0,MCC,0.5449999999999999,0.8832391713747646,0.7789473684210526,0.8173913043478261,0.5390494987277136
meta-LR,C=1.0,ACC,0.4499999999999999,0.8832391713747646,0.8105263157894737,0.85,0.5936581168194618
meta-LR,C=1.0,F1,0.4499999999999999,0.8832391713747646,0.8105263157894737,0.85,0.5936581168194618
meta-LR,C=5.0,MCC,0.5349999999999999,0.876647834274953,0.7894736842105263,0.8275862068965517,0.5580687036253706
meta-LR,C=5.0,ACC,0.4049999999999999,0.876647834274953,0.8210526315789474,0.859504132231405,0.6149756982751673
meta-LR,C=5.0,F1,0.4049999999999999,0.876647834274953,0.8210526315789474,0.859504132231405,0.6149756982751673
meta-XGB,d2_n100_lr0.05,MCC,0.32999999999999996,0.8785310734463277,0.8105263157894737,0.85,0.5936581168194618
meta-XGB,d2_n100_lr0.05,ACC,0.32999999999999996,0.8785310734463277,0.8105263157894737,0.85,0.5936581168194618
meta-XGB,d2_n100_lr0.05,F1,0.32999999999999996,0.8785310734463277,0.8105263157894737,0.85,0.5936581168194618
meta-XGB,d3_n200_lr0.05,MCC,0.27499999999999997,0.8775894538606404,0.8105263157894737,0.8524590163934426,0.5910223942928939
meta-XGB,d3_n200_lr0.05,ACC,0.27499999999999997,0.8775894538606404,0.8105263157894737,0.8524590163934426,0.5910223942928939
meta-XGB,d3_n200_lr0.05,F1,0.27499999999999997,0.8775894538606404,0.8105263157894737,0.8524590163934426,0.5910223942928939
meta-XGB,d3_n100_lr0.1,MCC,0.6799999999999999,0.8738229755178908,0.7473684210526316,0.7647058823529411,0.5359566784686671
meta-XGB,d3_n100_lr0.1,ACC,0.27999999999999997,0.8738229755178908,0.8105263157894737,0.8524590163934426,0.5910223942928939
meta-XGB,d3_n100_lr0.1,F1,0.27999999999999997,0.8738229755178908,0.8105263157894737,0.8524590163934426,0.5910223942928939
