variant,method,tuned_for,threshold,AUROC,ACC,F1,MCC
4-way,weighted-no-gnn4,MCC,0.4699999999999999,0.7372000000000001,0.72,0.772093023255814,0.4205040683484341
4-way,weighted-no-gnn4,ACC,0.4699999999999999,0.7372000000000001,0.72,0.772093023255814,0.4205040683484341
4-way,weighted-no-gnn4,F1,0.4699999999999999,0.7372000000000001,0.72,0.772093023255814,0.4205040683484341
5-way,weighted-equal5,MCC,0.49999999999999994,0.7481333333333333,0.6914285714285714,0.7452830188679245,0.3608439182435161
5-way,weighted-equal5,ACC,0.49999999999999994,0.7481333333333333,0.6914285714285714,0.7452830188679245,0.3608439182435161
5-way,weighted-equal5,F1,0.4599999999999999,0.7481333333333333,0.7142857142857143,0.7706422018348624,0.40830898299232793
5-way,weighted-mf-heavy5,MCC,0.5249999999999999,0.744,0.6857142857142857,0.7368421052631579,0.350559212763307
5-way,weighted-mf-heavy5,ACC,0.5249999999999999,0.744,0.6857142857142857,0.7368421052631579,0.350559212763307
5-way,weighted-mf-heavy5,F1,0.5249999999999999,0.744,0.6857142857142857,0.7368421052631579,0.350559212763307
5-way,weighted-hy+mf-heavy5,MCC,0.5099999999999999,0.7446666666666666,0.6914285714285714,0.7428571428571429,0.36187803325942697
5-way,weighted-hy+mf-heavy5,ACC,0.5099999999999999,0.7446666666666666,0.6914285714285714,0.7428571428571429,0.36187803325942697
5-way,weighted-hy+mf-heavy5,F1,0.5099999999999999,0.7446666666666666,0.6914285714285714,0.7428571428571429,0.36187803325942697
5-way,weighted-no-gnn5,MCC,0.5349999999999999,0.7405333333333334,0.6914285714285714,0.7428571428571429,0.36187803325942697
5-way,weighted-no-gnn5,ACC,0.5349999999999999,0.7405333333333334,0.6914285714285714,0.7428571428571429,0.36187803325942697
5-way,weighted-no-gnn5,F1,0.5349999999999999,0.7405333333333334,0.6914285714285714,0.7428571428571429,0.36187803325942697
5-way,weighted-no-gnn5-sp-heavy,MCC,0.57,0.7385333333333335,0.6742857142857143,0.7219512195121951,0.3299831645537222
5-way,weighted-no-gnn5-sp-heavy,ACC,0.57,0.7385333333333335,0.6742857142857143,0.7219512195121951,0.3299831645537222
5-way,weighted-no-gnn5-sp-heavy,F1,0.5149999999999999,0.7385333333333335,0.6971428571428572,0.7534883720930232,0.37185070506844997
meta,logreg-C1,MCC,0.35999999999999993,0.7470666666666667,0.6914285714285714,0.75,0.3594111956505145
meta,logreg-C1,ACC,0.35999999999999993,0.7470666666666667,0.6914285714285714,0.75,0.3594111956505145
meta,logreg-C1,F1,0.35999999999999993,0.7470666666666667,0.6914285714285714,0.75,0.3594111956505145
meta,logreg-C0.1,MCC,0.42499999999999993,0.7486666666666667,0.7028571428571428,0.7570093457943925,0.38425100546746915
meta,logreg-C0.1,ACC,0.42499999999999993,0.7486666666666667,0.7028571428571428,0.7570093457943925,0.38425100546746915
meta,logreg-C0.1,F1,0.42499999999999993,0.7486666666666667,0.7028571428571428,0.7570093457943925,0.38425100546746915
