variant,method,threshold,AUROC,ACC,F1,MCC
single,LogReg,0.38499999999999995,0.6614151464897733,0.64,0.7272727272727273,0.20814201122315512
single,GraphSAGE,0.5049999999999999,0.6897457158651188,0.64,0.7319148936170212,0.20085565856882925
single,molformerFT_s13,0.4749999999999999,0.6254836926478717,0.6114285714285714,0.6909090909090909,0.1684992304551096
single,tox21_NR-PPAR-gamma,0.3999999999999999,0.5866500829187395,0.44571428571428573,0.224,0.13927272975567162
single,molformerFT_s7,0.5249999999999999,0.6163626312880045,0.5885714285714285,0.6697247706422018,0.12442874915726661
single,tox21_SR-MMP,0.30499999999999994,0.5827805417357657,0.6285714285714286,0.752851711026616,0.12351671706030645
single,tox21_NR-Aromatase,0.26999999999999996,0.5067716970702045,0.6285714285714286,0.7601476014760148,0.111904716549185
single,molformerFT_s42,0.5149999999999999,0.6007462686567164,0.5828571428571429,0.669683257918552,0.1047742309793062
single,tox21_SR-ATAD5,0.36999999999999994,0.5367606412382532,0.48,0.40522875816993464,0.08684028411905616
single,tox21_NR-AhR,0.4799999999999999,0.558457711442786,0.4857142857142857,0.4444444444444444,0.06806236080337989
single,tox21_SR-p53,0.42999999999999994,0.5787728026533997,0.49142857142857144,0.46706586826347307,0.06437154345899862
single,tox21_SR-ARE,0.4749999999999999,0.560530679933665,0.52,0.5578947368421052,0.05640483633442022
single,tox21_mean,0.36499999999999994,0.5457435046987286,0.5428571428571428,0.6190476190476191,0.04890842230844238
single,tox21_SR-HSE,0.25499999999999995,0.5109176340519624,0.6171428571428571,0.7615658362989324,0.025911737073072236
single,tox21_NR-AR-LBD,0.26999999999999996,0.5341348811498066,0.4,0.1984732824427481,-0.041553852611508145
single,tox21_NR-ER-LBD,0.31999999999999995,0.41487009397457164,0.4342857142857143,0.40718562874251496,-0.059966426798449046
single,tox21_NR-AR,0.7449999999999999,0.5140961857379769,0.37714285714285717,0.035398230088495575,-0.07661165759894006
single,tox21_NR-ER,0.4799999999999999,0.38971807628524047,0.3657142857142857,0.15267175572519084,-0.14593553979352622
