stream,calib,target,threshold,AUROC,ACC,F1,MCC
4way-mf-light,platt,ACC,0.554,0.7353510226644555,0.7028571428571428,0.7903225806451613,0.34091704766498915
4way-mf-light,platt,F1,0.531,0.7353510226644555,0.7085714285714285,0.7951807228915663,0.35604110195923727
3way-no-gnn,platt,MCC,0.5720000000000001,0.7019071310116085,0.72,0.7932489451476793,0.3842666335760246
3way-no-gnn,platt,ACC,0.549,0.7019071310116085,0.7085714285714285,0.7901234567901234,0.35514590829455916
3way-no-gnn,platt,F1,0.549,0.7019071310116085,0.7085714285714285,0.7901234567901234,0.35514590829455916
6way-no-gnn6,temp(T=1.00),MCC,0.586,0.7422609176340519,0.7314285714285714,0.7911111111111111,0.4194144406114916
6way-no-gnn6,temp(T=1.00),ACC,0.47900000000000004,0.7422609176340519,0.72,0.8016194331983806,0.38438612535794514
6way-no-gnn6,temp(T=1.00),F1,0.28700000000000003,0.7422609176340519,0.6571428571428571,0.7744360902255639,0.21798223663713423
5way-no-gnn5-tx-light,temp(T=0.90),MCC,0.583,0.7382531785516859,0.7314285714285714,0.7911111111111111,0.4194144406114916
5way-no-gnn5-tx-light,temp(T=0.90),ACC,0.467,0.7382531785516859,0.7085714285714285,0.7935222672064778,0.3553037336858135
5way-no-gnn5-tx-light,temp(T=0.90),F1,0.467,0.7382531785516859,0.7085714285714285,0.7935222672064778,0.3553037336858135
4way-mf-light,temp(T=1.20),MCC,0.503,0.7353510226644555,0.7085714285714285,0.7951807228915663,0.35604110195923727
4way-mf-light,temp(T=1.20),ACC,0.49,0.7353510226644555,0.7085714285714285,0.7951807228915663,0.35604110195923727
4way-mf-light,temp(T=1.20),F1,0.49,0.7353510226644555,0.7085714285714285,0.7951807228915663,0.35604110195923727
3way-no-gnn,temp(T=1.30),MCC,0.489,0.7019071310116085,0.7085714285714285,0.7901234567901234,0.35514590829455916
3way-no-gnn,temp(T=1.30),ACC,0.489,0.7019071310116085,0.7085714285714285,0.7901234567901234,0.35514590829455916
3way-no-gnn,temp(T=1.30),F1,0.489,0.7019071310116085,0.7085714285714285,0.7901234567901234,0.35514590829455916
